feature,monotonicity
AbstractClassName,True
AnnotationOnSameLine,True
AnonInnerLength,True
ArrayTrailingComma,True
AvoidEscapedUnicodeCharacters,True
AvoidInlineConditionals,True
AvoidNestedBlocks,True
AvoidStaticImport,True
BooleanExpressionComplexity,True
CatchParameterName,True
ClassDataAbstractionCoupling,True
ClassFanOutComplexity,True
ClassMemberImpliedModifier,True
ClassTypeParameterName,True
CommentsIndentation,True
CyclomaticComplexity,True
DeclarationOrder,True
DefaultComesLast,True
EmptyBlock,True
EmptyCatchBlock,True
EmptyForIteratorPad,True
EmptyLineSeparator,True
EqualsHashCode,True
ExecutableStatementCount,True
FallThrough,True
FileLength,True
FinalClass,True
FinalLocalVariable,True
HiddenField,True
IllegalCatch,True
IllegalToken,True
IllegalType,True
InnerAssignment,True
InnerTypeLast,True
InterfaceMemberImpliedModifier,True
InterfaceTypeParameterName,True
JavaNCSS,True
JavadocMethod,True
JavadocStyle,True
JavadocType,True
JavadocVariable,True
LambdaParameterName,True
LineLength,True
MagicNumber,True
MethodCount,True
MethodLength,True
MethodParamPad,True
MethodTypeParameterName,True
MissingDeprecated,True
MissingJavadocMethod,True
MissingSwitchDefault,True
ModifiedControlVariable,True
MultipleStringLiterals,True
MultipleVariableDeclarations,True
MutableException,True
NPathComplexity,True
NeedBraces,True
NestedForDepth,True
NestedIfDepth,True
NoClone,True
NoWhitespaceAfter,True
NoWhitespaceBefore,True
OperatorWrap,True
OverloadMethodsDeclarationOrder,True
ParameterAssignment,True
ParameterNumber,True
RedundantModifier,True
RegexpOnFilename,True
ReturnCount,True
SeparatorWrap,True
SimplifyBooleanExpression,True
SingleSpaceSeparator,True
StaticVariableName,True
SummaryJavadoc,True
SuperClone,True
SuppressWarnings,True
ThrowsCount,True
TodoComment,True
TrailingComment,True
UnnecessaryParentheses,True
UnnecessarySemicolonInEnumeration,True
UnusedImports,True
UpperEll,True
VariableDeclarationUsageDistance,True
WhitespaceAfter,True
WhitespaceAround,True
any-Annotation,True
any-Header,True
any-Illegal,True
any-Metrics,True
any-Size Violation,True
any-Unnecessary,True
random_metric,True
same_day_duration_avg,True
AbbreviationAsWordInName,False
AnnotationLocation,False
AnnotationUseStyle,False
ArrayTypeStyle,False
AtclauseOrder,False
AvoidStarImport,False
ConstantName,False
CovariantEquals,False
CustomImportOrder,False
DesignForExtension,False
EmptyForInitializerPad,False
EmptyStatement,False
EqualsAvoidNull,False
ExplicitInitialization,False
FileTabCharacter,False
FinalParameters,False
GenericWhitespace,False
HideUtilityClassConstructor,False
IllegalImport,False
IllegalThrows,False
ImportControl,False
ImportOrder,False
Indentation,False
InterfaceIsType,False
InvalidJavadocPosition,False
JavadocPackage,False
JavadocParagraph,False
JavadocTagContinuationIndentation,False
LeftCurly,False
LocalFinalVariableName,False
LocalVariableName,False
MemberName,False
MethodName,False
MissingCtor,False
MissingJavadocPackage,False
MissingJavadocType,False
MissingOverride,False
ModifierOrder,False
NestedTryDepth,False
NewlineAtEndOfFile,False
NoFinalizer,False
NoLineWrap,False
NonEmptyAtclauseDescription,False
OneStatementPerLine,False
OneTopLevelClass,False
OuterTypeFilename,False
OuterTypeNumber,False
PackageDeclaration,False
PackageName,False
ParameterName,False
ParenPad,False
RedundantImport,False
Regexp,False
RequireThis,False
RightCurly,False
SimplifyBooleanReturn,False
SingleLineJavadoc,False
StringLiteralEquality,False
SuperFinalize,False
TypeName,False
TypecastParenPad,False
UncommentedMain,False
UnnecessarySemicolonInTryWithResources,False
VisibilityModifier,False
WriteTag,False
any-Block,False
any-Class Design,False
any-Coding,False
any-Import,False
any-JavaDoc Comments,False
any-Misc,False
any-Modifier,False
any-Naming Conventions,False
any-Regexp,False
any-Whitespace,False
avg_coupling_code_size_cut,False
prev_touch_ago,False
